Location,Date,Site,Quadrat,Plant_number,D1_p,Dn1,D2_p,Dn2,suck-mite_p,SPn3,D5_p,Dn5,D4_p,Dn4,D6_ct,D6_p,Dn6,PH,PD,FlC,FrC,EFNp_a,EFN ct,EFN score
TG,6/30/2025,4,1,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
TG,6/30/2025,4,1,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
TG,6/30/2025,4,1,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
TG,6/30/2025,4,1,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
TG,6/30/2025,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,14,1,4,1,3,1
TG,6/30/2025,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,33,12,1,4,1,3,1
TG,6/30/2025,4,1,7,0,0,0,0,7,2,0,0,0,0,0,0,0,35,12,1,3,1,3,1
TG,6/30/2025,4,1,8,1.8,2,0,0,0,0,0,0,0,0,2,15,1,22,6,0,3,1,2,1
TG,6/30/2025,4,1,9,11.6,2,0,0,0,0,0,0,0,0,0,0,0,20,5,0,1,na,na,na
TG,6/30/2025,4,1,10,6.25,2,0,0,0,0,0,0,0,0,0,0,0,16,12,0,1,0,0,0
TG,6/30/2025,4,1,11,0,0,0,0,0,0,0,0,0,0,2,12.5,1,25,7,1,3,0,0,0
TG,6/30/2025,4,1,12,10,2,0,0,0,0,0,0,0,0,0,0,0,17,5,0,2,0,0,0
TG,6/30/2025,4,1,13,6,2,0,0,0,0,0,0,0,0,0,0,0,55,15,1,4,1,4,1
TG,6/30/2025,4,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,1,2,0,0,0
TG,6/30/2025,4,1,15,5.7,2,0,0,0,0,0,0,0,0,0,0,0,28,17,1,2,1,4,1
TG,6/30/2025,4,2,1,0,0,0,0,66.6,1,0,0,0,0,0,0,0,5,5,0,1,0,0,0
TG,6/30/2025,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,0,0
TG,6/30/2025,4,2,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
TG,6/30/2025,4,2,4,0,0,0,0,40,"1,2",0,0,0,0,0,0,0,22,5,0,1,0,0,0
TG,6/30/2025,4,2,5,0,0,0,0,33.3,"1,2",0,0,0,0,0,0,0,30,5,1,0,0,0,0
TG,6/30/2025,4,2,6,5,1,0,0,25,"1,2",0,0,0,0,0,0,0,12,4,0,1,0,0,0
TG,6/30/2025,4,2,7,0,0,0,0,83,1,0,0,0,0,0,0,0,7,4,1,0,0,0,0
TG,6/30/2025,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,1,na,na,na
TG,6/30/2025,4,2,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
TG,6/30/2025,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,na,na,na
TG,6/30/2025,4,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,na,na,na
TG,6/30/2025,4,2,12,0,0,0,0,50,"1,2",0,0,0,0,0,0,0,10,5,0,1,na,na,na
TG,6/30/2025,4,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,1,1,0,0,0
TG,6/30/2025,4,2,14,0,0,0,0,100,"1,2",0,0,0,0,0,0,0,20,5,0,1,na,na,na
TG,6/30/2025,4,2,15,0,0,0,0,66.6,"1,2",0,0,0,0,0,0,0,10,4,0,1,na,na,na
TG,6/30/2025,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,2,0,0,0
TG,6/30/2025,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,1,1,0,0,0
TG,6/30/2025,5,1,3,10,1,0,0,0,0,0,0,0,0,0,0,0,20,4,0,1,0,0,0
TG,6/30/2025,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,0,1,0,0,0
TG,6/30/2025,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,1,1,0,0,0
TG,6/30/2025,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,1,1,0,0,0
TG,6/30/2025,5,1,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
TG,6/30/2025,5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,1,0,0,0
TG,6/30/2025,5,1,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
TG,6/30/2025,5,1,10,0,0,41.6,"1,2",0,0,0,0,0,0,0,0,0,23,5,0,1,0,0,0
