qtag,qnum,loc,band,rep
90,1,IR,1,na
813,1,IR,1,na
838,2,IR,1,na
794,3,IR,1,na
883,1,IR,2,na
34,2,IR,2,na
15,3,IR,2,na
3,1,IR,3,na
29,2,IR,3,na
433,3,IR,3,na
320,1,IR,4,na
387,2,IR,4,na
302,3,IR,4,na
311,1,IR,5,na
319,2,IR,5,na
347,3,IR,5,na
652,1,IR,6,na
989,2,IR,6,na
626,3,IR,6,na
696,1,IR,7,na
670,2,IR,7,na
899,3,IR,7,na
699,1,IR,8,1
98,2,IR,8,1
640,3,IR,8,1
698,1,IR,8,2
697,2,IR,8,2
604,3,IR,8,2
655,1,IR,9,1
700,2,IR,9,1
41,3,IR,9,1
620,1,IR,9,2
78,2,IR,9,2
36,3,IR,9,2
63,1,IR,10,na
905,2,IR,10,na
105,3,IR,10,na
71,1,HR,1,na
893,2,HR,1,na
891,3,HR,1,na
76,1,HR,2,na
80,2,HR,2,na
6,3,HR,2,na
96,1,HR,3,na
38,2,HR,3,na
94,3,HR,3,na
623,1,HR,4,na
639,2,HR,4,na
687,3,HR,4,na
574,1,HR,5,na
695,2,HR,5,na
636,3,HR,5,na
674,1,HR,6,na
660,2,HR,6,na
683,3,HR,6,na
624,1,HR,7,na
672,2,HR,7,na
632,3,HR,7,na
914,1,MC,1,na
945,2,MC,1,na
898,3,MC,1,na
457,1,MC,2,na
416,2,MC,2,na
458,3,MC,2,na
667,1,MC,3,na
815,2,MC,3,na
610,3,MC,3,na
259,1,MC,4,na
258,2,MC,4,na
285,3,MC,4,na
218,1,MC,5,na
240,2,MC,5,na
227,3,MC,5,na
634,1,MC,6,na
611,2,MC,6,na
609,3,MC,6,na
614,1,MC,7,na
629,2,MC,7,na
642,3,MC,7,na
619,1,MC,8,na
691,2,MC,8,na
650,3,MC,8,na
263,1,MC,9,na
17,2,MC,9,na
730,3,MC,9,na
88,1,MC,10,1
49,2,MC,10,1
637,3,MC,10,1
27,1,MC,10,2
13,2,MC,10,2
81,3,MC,10,2
