date,trt,plant,bar,time,notes
7/27/2026,w,264,12.5,1423,
7/27/2026,w,12,12,1428,
7/27/2026,w,541,10.5,1433,
7/27/2026,w,528,10.75,1438,
7/27/2026,w,33,12,1442,
7/27/2026,w,14,15,1447,
7/27/2026,w,1,na,na,
7/27/2026,w,570,15,1455,
7/27/2026,w,670,14.5,1459,
7/27/2026,b,451,11,1425,
7/27/2026,b,4,11.5,1429,
7/27/2026,b,5,9.5,1434,
7/27/2026,b,55,9,1439,
7/27/2026,b,11,12.5,1444,
7/27/2026,b,19,11.5,1448,
7/27/2026,b,89,13,1452,
7/27/2026,b,556,12.5,1456,
7/27/2026,b,563,12.5,1501,
7/27/2026,r,632,9.5,1426,
7/27/2026,r,590,11,1431,
7/27/2026,r,549,13,1436,
7/27/2026,r,11,7,1440,
7/27/2026,r,545,22,1445,
7/27/2026,r,511,9.5,1449,
7/27/2026,r,679,9.5,1453,
7/27/2026,r,81,dead,na,
7/27/2026,r,699,12.5,1502,
7/28/2026,r,262,6.5,248,
7/28/2026,w,12,9.5,250,scen
7/28/2026,b,97,6.5,253,
7/28/2026,r,651,8,254,
7/28/2026,w,540,2.5,257,
7/28/2026,b,639,3.5,259,
7/28/2026,r,4,10,302,
7/28/2026,w,458,3,304,
7/28/2026,b,634,6,306,
7/28/2026,r,640,4.75,308,
7/28/2026,w,479,5.25,310,
7/28/2026,b,32,8,312,
7/28/2026,r,270,8,314,
7/28/2026,w,205,2.5,316,
7/28/2026,b,183,5,317,
7/28/2026,r,524,2.5,320,
7/28/2026,w,3,4,322,
7/28/2026,b,466,10,323,
7/28/2026,r,671,2.5,325,
7/28/2026,b,7,5,328,
7/28/2026,r,239,4,330,
7/28/2026,b,39,3,332,
7/28/2026,r,268,4.5,334,
7/28/2026,r,569,4,336,
