date,trt,plant,bar,time
6/30/2026,r,10,na,na
6/30/2026,w,18,2,308
6/30/2026,b,2,1.5,311
6/30/2026,r,21,1,315
6/30/2026,w,19,0.5,319
6/30/2026,b,17,1,323
6/30/2026,r,11,1,328
6/30/2026,w,13,0.5,332
6/30/2026,b,11,0.75,336
6/30/2026,r,24,0.75,342
6/30/2026,w,24,1,346
6/30/2026,b,13,1.25,350
6/30/2026,r,18,0.5,352
6/30/2026,w,15,1,400
6/30/2026,b,14,0.75,402
6/30/2026,r,17,1.25,405
6/30/2026,w,1,0.5,408
6/30/2026,b,10,0.5,411
6/30/2026,r,7,0.75,418
6/30/2026,w,14,0.5,422
6/30/2026,b,9,1,425
7/1/2026,r,5,na,250
7/1/2026,w,11,2.5,256
7/1/2026,b,24,1.5,301
7/1/2026,r,3,1.25,303
7/1/2026,w,3,1.5,306
7/1/2026,b,16,1.5,310
7/1/2026,r,22,2.5,313
7/1/2026,w,9,0.75,316
7/1/2026,b,19,1.5,318
7/1/2026,r,1,2.25,320
7/1/2026,w,4,1.5,324
7/1/2026,b,18,1,329
7/1/2026,r,12,2,330
7/1/2026,w,8,1,333
7/1/2026,b,21,2.5,336
7/1/2026,r,2,1.5,338
7/1/2026,w,6,1,341
7/1/2026,b,22,1,344
7/1/2026,r,6,2,346
7/1/2026,w,20,1,349
7/1/2026,b,15,0.75,351
7/1/2026,r,16,1,354
7/1/2026,w,19,0.75,357
7/1/2026,b,3,1,359
7/2/2026,r,9,2.5,258
7/2/2026,w,2,1.25,302
7/2/2026,b,5,1.5,304
7/2/2026,r,4,5,307
7/2/2026,w,22,0.5,311
7/2/2026,b,20,3.5,314
7/2/2026,r,23,5,317
7/2/2026,w,21,1,320
7/2/2026,b,4,1,325
7/2/2026,r,13,1,325
7/2/2026,w,16,1.25,327
7/2/2026,b,6,1.5,330
7/2/2026,r,20,1.5,333
7/2/2026,w,5,1,335
7/2/2026,b,1,1,337
7/2/2026,r,8,0.75,340
7/2/2026,w,12,1,342
7/2/2026,b,23,1,344
7/2/2026,r,19,0.5,347
7/2/2026,w,7,1,349
7/2/2026,b,8,1.5,352
7/2/2026,r,15,1.75,354
7/2/2026,w,10,0.5,356
7/2/2026,b,7,1,359
7/2/2026,w,23,1,401
7/2/2026,w,17,0.75,403
